Articulo_1,Articulo_2,Similitud
Computational Thinking and Epistemic Heterogeneity...,Preparing Elementary Preservice Teachers to Integr...,0.2538
Computational Thinking and Epistemic Heterogeneity...,Supports of Data Cache Division for Computational ...,0.218
Computational Thinking and Epistemic Heterogeneity...,Misinformation Resilient Search Rankings with Webg...,0.2802
Computational Thinking and Epistemic Heterogeneity...,First-Order Temporal Logic on Finite Traces: Seman...,0.231
Computational Thinking and Epistemic Heterogeneity...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2127
Computational Thinking and Epistemic Heterogeneity...,Computational Geometry Column 68,0.2001
Computational Thinking and Epistemic Heterogeneity...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2372
Preparing Elementary Preservice Teachers to Integr...,Supports of Data Cache Division for Computational ...,0.1879
Preparing Elementary Preservice Teachers to Integr...,Misinformation Resilient Search Rankings with Webg...,0.2243
Preparing Elementary Preservice Teachers to Integr...,First-Order Temporal Logic on Finite Traces: Seman...,0.1917
Preparing Elementary Preservice Teachers to Integr...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.1948
Preparing Elementary Preservice Teachers to Integr...,Computational Geometry Column 68,0.1623
Preparing Elementary Preservice Teachers to Integr...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.1989
Supports of Data Cache Division for Computational ...,Misinformation Resilient Search Rankings with Webg...,0.2092
Supports of Data Cache Division for Computational ...,First-Order Temporal Logic on Finite Traces: Seman...,0.1852
Supports of Data Cache Division for Computational ...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2002
Supports of Data Cache Division for Computational ...,Computational Geometry Column 68,0.164
Supports of Data Cache Division for Computational ...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.1921
Misinformation Resilient Search Rankings with Webg...,First-Order Temporal Logic on Finite Traces: Seman...,0.2025
Misinformation Resilient Search Rankings with Webg...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.1854
Misinformation Resilient Search Rankings with Webg...,Computational Geometry Column 68,0.1751
Misinformation Resilient Search Rankings with Webg...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.208
First-Order Temporal Logic on Finite Traces: Seman...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2141
First-Order Temporal Logic on Finite Traces: Seman...,Computational Geometry Column 68,0.1781
First-Order Temporal Logic on Finite Traces: Seman...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2109
Good-for-Game QPTL: An Alternating Hodges Semantic...,Computational Geometry Column 68,0.1701
Good-for-Game QPTL: An Alternating Hodges Semantic...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2073
Computational Geometry Column 68,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2035
