Articulo_1,Articulo_2,Similitud
Computational Thinking and Epistemic Heterogeneity...,Preparing Elementary Preservice Teachers to Integr...,0.4614
Computational Thinking and Epistemic Heterogeneity...,Supports of Data Cache Division for Computational ...,0.4543
Computational Thinking and Epistemic Heterogeneity...,Misinformation Resilient Search Rankings with Webg...,0.4527
Computational Thinking and Epistemic Heterogeneity...,First-Order Temporal Logic on Finite Traces: Seman...,0.4248
Computational Thinking and Epistemic Heterogeneity...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.5527
Computational Thinking and Epistemic Heterogeneity...,Computational Geometry Column 68,0.4337
Computational Thinking and Epistemic Heterogeneity...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.5192
Preparing Elementary Preservice Teachers to Integr...,Supports of Data Cache Division for Computational ...,0.268
Preparing Elementary Preservice Teachers to Integr...,Misinformation Resilient Search Rankings with Webg...,0.3137
Preparing Elementary Preservice Teachers to Integr...,First-Order Temporal Logic on Finite Traces: Seman...,0.409
Preparing Elementary Preservice Teachers to Integr...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2384
Preparing Elementary Preservice Teachers to Integr...,Computational Geometry Column 68,0.335
Preparing Elementary Preservice Teachers to Integr...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.3757
Supports of Data Cache Division for Computational ...,Misinformation Resilient Search Rankings with Webg...,0.4455
Supports of Data Cache Division for Computational ...,First-Order Temporal Logic on Finite Traces: Seman...,0.4522
Supports of Data Cache Division for Computational ...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.5538
Supports of Data Cache Division for Computational ...,Computational Geometry Column 68,0.5195
Supports of Data Cache Division for Computational ...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.3108
Misinformation Resilient Search Rankings with Webg...,First-Order Temporal Logic on Finite Traces: Seman...,0.4465
Misinformation Resilient Search Rankings with Webg...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.4597
Misinformation Resilient Search Rankings with Webg...,Computational Geometry Column 68,0.6298
Misinformation Resilient Search Rankings with Webg...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.4511
First-Order Temporal Logic on Finite Traces: Seman...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.5595
First-Order Temporal Logic on Finite Traces: Seman...,Computational Geometry Column 68,0.4535
First-Order Temporal Logic on Finite Traces: Seman...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.4414
Good-for-Game QPTL: An Alternating Hodges Semantic...,Computational Geometry Column 68,0.5045
Good-for-Game QPTL: An Alternating Hodges Semantic...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.486
Computational Geometry Column 68,"Thinking Clearly About Age, Period, and Cohort Eff...",0.3986
