Articulo_1,Articulo_2,Similitud
Computational Thinking and Epistemic Heterogeneity...,Preparing Elementary Preservice Teachers to Integr...,0.0996
Computational Thinking and Epistemic Heterogeneity...,Supports of Data Cache Division for Computational ...,0.1111
Computational Thinking and Epistemic Heterogeneity...,Misinformation Resilient Search Rankings with Webg...,0.1095
Computational Thinking and Epistemic Heterogeneity...,First-Order Temporal Logic on Finite Traces: Seman...,0.0872
Computational Thinking and Epistemic Heterogeneity...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.0955
Computational Thinking and Epistemic Heterogeneity...,Computational Geometry Column 68,0.0892
Computational Thinking and Epistemic Heterogeneity...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0699
Preparing Elementary Preservice Teachers to Integr...,Supports of Data Cache Division for Computational ...,0.083
Preparing Elementary Preservice Teachers to Integr...,Misinformation Resilient Search Rankings with Webg...,0.0859
Preparing Elementary Preservice Teachers to Integr...,First-Order Temporal Logic on Finite Traces: Seman...,0.0893
Preparing Elementary Preservice Teachers to Integr...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.0868
Preparing Elementary Preservice Teachers to Integr...,Computational Geometry Column 68,0.0645
Preparing Elementary Preservice Teachers to Integr...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0764
Supports of Data Cache Division for Computational ...,Misinformation Resilient Search Rankings with Webg...,0.0861
Supports of Data Cache Division for Computational ...,First-Order Temporal Logic on Finite Traces: Seman...,0.125
Supports of Data Cache Division for Computational ...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.1117
Supports of Data Cache Division for Computational ...,Computational Geometry Column 68,0.087
Supports of Data Cache Division for Computational ...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0779
Misinformation Resilient Search Rankings with Webg...,First-Order Temporal Logic on Finite Traces: Seman...,0.0788
Misinformation Resilient Search Rankings with Webg...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.0802
Misinformation Resilient Search Rankings with Webg...,Computational Geometry Column 68,0.0854
Misinformation Resilient Search Rankings with Webg...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0633
First-Order Temporal Logic on Finite Traces: Seman...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.1302
First-Order Temporal Logic on Finite Traces: Seman...,Computational Geometry Column 68,0.1208
First-Order Temporal Logic on Finite Traces: Seman...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.1005
Good-for-Game QPTL: An Alternating Hodges Semantic...,Computational Geometry Column 68,0.1029
Good-for-Game QPTL: An Alternating Hodges Semantic...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0927
Computational Geometry Column 68,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0989
