Articulo_1,Articulo_2,Similitud
Computational Thinking and Epistemic Heterogeneity...,Preparing Elementary Preservice Teachers to Integr...,0.2447
Computational Thinking and Epistemic Heterogeneity...,Supports of Data Cache Division for Computational ...,0.2608
Computational Thinking and Epistemic Heterogeneity...,Misinformation Resilient Search Rankings with Webg...,0.2671
Computational Thinking and Epistemic Heterogeneity...,First-Order Temporal Logic on Finite Traces: Seman...,0.2572
Computational Thinking and Epistemic Heterogeneity...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2528
Computational Thinking and Epistemic Heterogeneity...,Computational Geometry Column 68,0.2601
Computational Thinking and Epistemic Heterogeneity...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2819
Preparing Elementary Preservice Teachers to Integr...,Supports of Data Cache Division for Computational ...,0.2557
Preparing Elementary Preservice Teachers to Integr...,Misinformation Resilient Search Rankings with Webg...,0.2572
Preparing Elementary Preservice Teachers to Integr...,First-Order Temporal Logic on Finite Traces: Seman...,0.2537
Preparing Elementary Preservice Teachers to Integr...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2228
Preparing Elementary Preservice Teachers to Integr...,Computational Geometry Column 68,0.1547
Preparing Elementary Preservice Teachers to Integr...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2666
Supports of Data Cache Division for Computational ...,Misinformation Resilient Search Rankings with Webg...,0.2263
Supports of Data Cache Division for Computational ...,First-Order Temporal Logic on Finite Traces: Seman...,0.2247
Supports of Data Cache Division for Computational ...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.267
Supports of Data Cache Division for Computational ...,Computational Geometry Column 68,0.2349
Supports of Data Cache Division for Computational ...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2629
Misinformation Resilient Search Rankings with Webg...,First-Order Temporal Logic on Finite Traces: Seman...,0.2416
Misinformation Resilient Search Rankings with Webg...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2823
Misinformation Resilient Search Rankings with Webg...,Computational Geometry Column 68,0.2392
Misinformation Resilient Search Rankings with Webg...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2688
First-Order Temporal Logic on Finite Traces: Seman...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.2819
First-Order Temporal Logic on Finite Traces: Seman...,Computational Geometry Column 68,0.2432
First-Order Temporal Logic on Finite Traces: Seman...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2668
Good-for-Game QPTL: An Alternating Hodges Semantic...,Computational Geometry Column 68,0.2626
Good-for-Game QPTL: An Alternating Hodges Semantic...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2695
Computational Geometry Column 68,"Thinking Clearly About Age, Period, and Cohort Eff...",0.2211
