Articulo_1,Articulo_2,Similitud
Computational Thinking and Epistemic Heterogeneity...,Preparing Elementary Preservice Teachers to Integr...,0.3621
Computational Thinking and Epistemic Heterogeneity...,Supports of Data Cache Division for Computational ...,0.0248
Computational Thinking and Epistemic Heterogeneity...,Misinformation Resilient Search Rankings with Webg...,0.0736
Computational Thinking and Epistemic Heterogeneity...,First-Order Temporal Logic on Finite Traces: Seman...,0.0832
Computational Thinking and Epistemic Heterogeneity...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.1481
Computational Thinking and Epistemic Heterogeneity...,Computational Geometry Column 68,0.0016
Computational Thinking and Epistemic Heterogeneity...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.1786
Preparing Elementary Preservice Teachers to Integr...,Supports of Data Cache Division for Computational ...,0.0137
Preparing Elementary Preservice Teachers to Integr...,Misinformation Resilient Search Rankings with Webg...,-0.0682
Preparing Elementary Preservice Teachers to Integr...,First-Order Temporal Logic on Finite Traces: Seman...,0.1158
Preparing Elementary Preservice Teachers to Integr...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.07
Preparing Elementary Preservice Teachers to Integr...,Computational Geometry Column 68,-0.0113
Preparing Elementary Preservice Teachers to Integr...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0135
Supports of Data Cache Division for Computational ...,Misinformation Resilient Search Rankings with Webg...,0.1892
Supports of Data Cache Division for Computational ...,First-Order Temporal Logic on Finite Traces: Seman...,0.1849
Supports of Data Cache Division for Computational ...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.1154
Supports of Data Cache Division for Computational ...,Computational Geometry Column 68,0.065
Supports of Data Cache Division for Computational ...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0767
Misinformation Resilient Search Rankings with Webg...,First-Order Temporal Logic on Finite Traces: Seman...,0.0929
Misinformation Resilient Search Rankings with Webg...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.1343
Misinformation Resilient Search Rankings with Webg...,Computational Geometry Column 68,0.1338
Misinformation Resilient Search Rankings with Webg...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.1498
First-Order Temporal Logic on Finite Traces: Seman...,Good-for-Game QPTL: An Alternating Hodges Semantic...,0.5439
First-Order Temporal Logic on Finite Traces: Seman...,Computational Geometry Column 68,0.0177
First-Order Temporal Logic on Finite Traces: Seman...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.1671
Good-for-Game QPTL: An Alternating Hodges Semantic...,Computational Geometry Column 68,-0.0081
Good-for-Game QPTL: An Alternating Hodges Semantic...,"Thinking Clearly About Age, Period, and Cohort Eff...",0.1307
Computational Geometry Column 68,"Thinking Clearly About Age, Period, and Cohort Eff...",0.0547
