"type","year","title"
"article","2018","A Computational Architecture for Coupling Heterogeneous Numerical Models and Computing Coupled Derivatives"
"article","2018","A Modular Type Reconstruction Algorithm"
"article","2018","A new perspective on computational thinking"
"article","2018","A Simple Modal Logic for Reasoning in Multigranulation Rough Set Model"
"article","2018","Aiding Collaborative Reuse of Computational Notebooks with Annotated Cell Folding"
"article","2018","Algorithm 990"
"article","2018","An Automatic Proving Approach to Parameterized Verification"
"article","2018","An Epistemic Strategy Logic"
"article","2018","An open-source realtime computational platform (short WIP paper)"
"article","2018","An Operational Semantics for the Cognitive Architecture ACT-R and Its Translation to Constraint Handling Rules"
"article","2018","Automated Deduction in Gödel Logic"
"article","2018","Automated Equivalence Checking of Concurrent Quantum Systems"
"article","2018","Characterisation of Normalisation Properties for λμ using Strict Negated Intersection Types"
"article","2018","Checking Admissibility Using Natural Dualities"
"article","2018","Completeness of Flat Coalgebraic Fixpoint Logics"
"article","2018","Complexity of Propositional Logics in Team Semantic"
"article","2018","Compositional Synthesis of Piece-Wise Functions by Learning Classifiers"
"article","2018","Computational design of nanostructural color for additive manufacturing"
"article","2018","Computational Design of Transforming Pop-up Books"
"article","2018","Computational fact checking"
"article","2018","Computational Geometry Column 67"
"article","2018","Computational Geometry Column 68"
"article","2018","Computational social science ≠ computer science + social data"
"article","2018","Computational thinking for all"
"article","2018","DeepFocus"
"article","2018","Definability of Cai-Fürer-Immerman Problems in Choiceless Polynomial Time"
"article","2018","Derecho"
"article","2018","Editor's introduction: Reflecting on and re-thinking usability and user experience design"
"article","2018","Evaluating Computational Creativity"
"article","2018","Evaluation-as-a-Service for the Computational Sciences"
"article","2018","Finite Satisfiability of the Two-Variable Guarded Fragment with Transitive Guards and Related Variants"
"article","2018","Finite-State Map-Reduce Computation and Relational Algebra Queries"
"article","2018","FlexMaps"
"article","2018","Game-Theoretic Semantics for Alternating-Time Temporal Logic"
"article","2018","Generalized Eilenberg Theorem"
"article","2018","Geometry of Interaction for MALL via Hughes--Van Glabbeek Proof-Nets"
"article","2018","Hierarchies in Inclusion Logic with Lax Semantics"
"article","2018","Hive"
"article","2018","How to find relevant papers: thinking like a researcher"
"article","2018","Hypersequents and Systems of Rules"
"article","2018","Incremental Linearization for Satisfiability and Verification Modulo Nonlinear Arithmetic and Transcendental Functions"
"article","2018","Interaction Graphs"
"article","2018","Interval vs. Point Temporal Logic Model Checking"
"article","2018","IWCTS 2017: Tenth ACM SIGSPATIAL International Workshop on Computational Transportation Science"
"article","2018","Megapixel adaptive optics"
"article","2018","Metamolds"
"article","2018","Minkowski Games"
"article","2018","Modular Labelled Sequent Calculi for Abstract Separation Logics"
"article","2018","Parallel Cost Analysis"
"article","2018","Path Categories and Propositional Identity Types"
"article","2018","Peer Review in CS2"
"article","2018","Proof Complexity Meets Algebra"
"article","2018","Provenance Analytics for Workflow-Based Computational Experiments"
"article","2018","Quantitative Aspects of Linear and Affine Closed Lambda Terms"
"article","2018","Relating Paths in Transition Systems"
"article","2018","Report on the SIGIR 2017 Workshop on Axiomatic Thinking for Information Retrieval and Related Tasks (ATIR)"
"article","2018","Review of Trends in Computational Social Choice Edited by Ulle Endriss"
"article","2018","Security on Autopilot"
"article","2018","Solution of Dense Linear Systems via Roundoff-Error-Free Factorization Algorithms"
"article","2018","Some Subsystems of Constant-Depth Frege with Parity"
"article","2018","Sparse Hardware Embedding of Spiking Neuron Systems for Community Detection"
"article","2018","Special Issue"
"article","2018","Subatomic Proof Systems"
"article","2018","Survey on Computational Trust and Reputation Models"
"article","2018","Syntax-Preserving Belief Change Operators for Logic Programs"
"article","2018","Tear Down the Method Prisons! Set Free the Practices!"
"article","2018","The Art of Getting Deep Neural Networks in Shape"
"article","2018","The divisiveness of design thinking"
"article","2018","The Philosopher's Corner: The Value of Feyerabend's Anarchic Thinking for Information Systems Research"
"article","2018","THINKING ISSUESGlobal software engineering and scaled agile"
"article","2018","Thinking Like a Director"
"article","2018","THINKING PROFESSIONALLYThe continual evolution of interest in computing ethics"
"article","2018","Time-inconsistent planning"
"article","2018","Typed Nominal Rewriting"
"article","2019","1-Safe Petri Nets and Special Cube Complexes"
"article","2019","A computational investigation of the propaganda model"
"article","2019","A Higher-Order Calculus of Computational Fields"
"article","2019","A Neural Network Prefetcher for Arbitrary Memory Access Patterns"
"article","2019","A Representation Theorem for Change through Composition of Activities"
"article","2019","A SAT Approach to Branchwidth"
"article","2019","A Theoretical and Numerical Analysis of the Worst-Case Size of Reduced Ordered Binary Decision Diagrams"
"article","2019","Adding Successor"
"article","2019","Binary Reachability of Timed-register Pushdown Automata and Branching Vector Addition Systems"
"article","2019","Central Limit Model Checking"
"article","2019","Client-side Computational Optimization"
"article","2019","Computational design of fabric formwork"
"article","2019","Computational foundry"
"article","2019","Computational Geometry Column 69"
"article","2019","Computational LEGO technic design"
"article","2019","Computational Mining of Social Media to Curb Terrorism"
"article","2019","Computational peeling art design"
"article","2019","Computational sustainability"
"article","2019","Computational thinking should just be good thinking"
"article","2019","Computational Understanding of Visual Interestingness Beyond Semantics"
"article","2019","Conceptual Representations for Computational Concept Creation"
"article","2019","CSpathshala"
"article","2019","De Morgan Dual Nominal Quantifiers Modelling Private Names in Non-Commutative Logic"
"article","2019","Did It Have To End This Way?"
"article","2019","Digital and Physical Fabrication as Multimodal Learning"
"article","2019","Distributed strategies for computational sprints"
"article","2019","Do we really need computational thinking?"
"article","2019","Dynamic QBF Dependencies in Reduction and Expansion"
"article","2019","Fast Query Answering over Existential Rules"
"article","2019","Fixed-point Elimination in the Intuitionistic Propositional Calculus"
"article","2019","From computational thinking to computational action"
"article","2019","Higher inductive types in cubical computational type theory"
"article","2019","How Data Scientists Use Computational Notebooks for Real-Time Collaboration"
"article","2019","Idempotent Anti-unification"
"article","2019","Incomplete SMT Techniques for Solving Non-Linear Formulas over the Integers"
"article","2019","Intuitionistic Linear Temporal Logics"
"article","2019","Learning to fly"
"article","2019","Mastering concurrent computing through sequential thinking"
"article","2019","Modal Resolution"
"article","2019","Modeling and Computational Characterization of Twitter Customer Service Conversations"
"article","2019","Modularisation of Sequent Calculi for Normal and Non-normal Modalities"
"article","2019","Monadic Datalog, Tree Validity, and Limited Access Containment"
"article","2019","MTL and TPTL for One-Counter Machines"
"article","2019","On the Verification of Livelock-Freedom and Self-Stabilization on Parameterized Rings"
"article","2019","Parallel-Correctness and Containment for Conjunctive Queries with Union and Negation"
"article","2019","Probabilistic Epistemic Updates on Algebras"
"article","2019","Pure Sequent Calculi"
"article","2019","Reason-maintenance Belief Logic with Uncertain Information"
"article","2019","Reasoning about Cognitive Trust in Stochastic Multiagent Systems"
"article","2019","Reasoning about Strategic Abilities"
"article","2019","Reconstructing Human Joint Motion with Computational Fabrics"
"article","2019","Replicated Computational Results (RCR) Report for “Code Generation for Generally Mapped Finite Elements”"
"article","2019","Replicated Computational Results (RCR) Report for “Fast Random Integer Generation in an Interval”"
"article","2019","Runtime Verification over Out-of-order Streams"
"article","2019","Satisfiability of Modal Inclusion Logic"
"article","2019","Sequential Equilibrium in Computational Games"
"article","2019","Survey of Text-based Epidemic Intelligence"
"article","2019","Survey on Brain-Computer Interface"
"article","2019","Synchronizing Data Words for Register Automata"
"article","2019","Taking Feyerabend to the Next Level"
"article","2019","The Complexity of Minimal Inference Problem for Conservative Constraint Languages"
"article","2019","The edge of computational photography"
"article","2019","The hype of big thinking"
"article","2019","The laws of thought and thinking machines"
"article","2019","The Unreasonable Fairness of Maximum Nash Welfare"
"article","2019","Tight Bounds on the Asymptotic Descriptive Complexity of Subgraph Isomorphism"
