rank_by_count,name,count
1,Clear, Tony,10
2,Liu, Yang,9
3,Bickel, Bernd,8
4,Jin, Xin,7
5,Pauly, Mark,6
6,Blumenthal, Johanna,5
7,Li, Wei,5
8,Maubert, Bastien,5
9,Palmigiano, Alessandra,5
10,Pan, Tingzhe,5
11,Wang, Ting,5
12,Yang, Fan,5
13,Zhang, Wei,5
14,Bashir, Noman,4
15,Benedikt, Michael,4

asc_by_name,name,count
1,Bashir, Noman,4
2,Benedikt, Michael,4
3,Bickel, Bernd,8
4,Blumenthal, Johanna,5
5,Clear, Tony,10
6,Jin, Xin,7
7,Li, Wei,5
8,Liu, Yang,9
9,Maubert, Bastien,5
10,Palmigiano, Alessandra,5
11,Pan, Tingzhe,5
12,Pauly, Mark,6
13,Wang, Ting,5
14,Yang, Fan,5
15,Zhang, Wei,5
