Source,Target,Weight
Gurevich2025PrimalLogicofInfo,Aamer2023InputsOutputsand,0.2727272727272727
Becker2024ComputationalDesign,Huang2023GEOAComputational,0.26666666666666666
Becker2024ComputationalDesign,Javadi2023AComprehensiveMode,0.29411764705882354
Shen2024ComputationallyHard,Wang2023WitnessesforAnswer,0.3076923076923077
Zhou2023ComputationalDesign,Montes2020Computationaldesign,0.3333333333333333
Zhou2023ComputationalDesign,Pellis2021Computationaldesign,0.3333333333333333
Aamer2023InputsOutputsand,Cavalcanti2020InputsandOutputsi,0.36363636363636365
Vidulis2023ComputationalExplor,Zhang2021ComputationalDesign,0.3
Tang2023BeyondChainmailCo,Chen2022Computationaldesign,0.25
Pelnek2023TheLandscapeofCom,Bleyer2020AutomatingtheFormu,0.26666666666666666
Pelnek2023TheLandscapeofCom,Denning2021Computationalthinki,0.2727272727272727
Wareham2023SwarmControlforDi,Liu2022TrustworthyAIACo,0.2727272727272727
Michaud2022DesignThinkingand,Carta2020Machinelearningand,0.2857142857142857
Mooij2022AComputationalFram,Yan2022AComputationalFram,0.22222222222222224
Wu2022ComputationalMirror,Liu2019Computationalpeelin,0.25
Mike2022Computationalthinki,Kutay2022CodingwithMinecraf,0.21333333333333335
Mike2022Computationalthinki,Hughes2019Thelawsofthought,0.25
Mike2022Computationalthinki,Kirkpatrick2019Theedgeofcomputat,0.3
Mike2022Computationalthinki,Frauenberger2019Waysofthinkingin,0.3
Kodnongbua2022Computationaldesign,Zhang2019Computationaldesign,0.42857142857142855
Kodnongbua2022Computationaldesign,Zhang2021ComputationalDesign,0.3333333333333333
Kodnongbua2022Computationaldesign,Montes2020Computationaldesign,0.42857142857142855
Chen2022Computationaldesign,Zhang2021ComputationalDesign,0.2727272727272727
Yan2022AComputationalFram,Mooij2022AComputationalFram,0.22222222222222224
Kutay2022CodingwithMinecraf,Mike2022Computationalthinki,0.21333333333333335
Podder2022ZeroOneLawsforEx,Gajarsk2020FirstOrderInterpre,0.26666666666666666
Grdel2022LogicswithMultitea,Kiefer2021GraphsIdentifiedby,0.25
Jones2021ComputationalDesign,Zhang2019Computationaldesign,0.42857142857142855
Zhang2021Jointcomputational,Auzinger2018Computationaldesign,0.25
Denning2021Computationalthinki,Yaar2018Anewperspectiveon,0.25
Denning2021Computationalthinki,Tissenbaum2019Fromcomputationalt,0.2857142857142857
Denning2021Computationalthinki,Fan2019Distributedstrategi,0.2857142857142857
Panetta2021Computationalinvers,Auzinger2018Computationaldesign,0.25
Lopes2021ReasoningaboutPetr,Tomovi2020AFirstorderLogic,0.29411764705882354
Demri2021TheEffectsofAddin,Echenim2020TheBernaysSchnfin,0.29411764705882354
Gavriil2020Computationaldesign,Auzinger2018Computationaldesign,0.25
Baldan2020ModelCheckingaLog,Bozzelli2018IntervalvsPointT,0.2727272727272727
Montes2020Computationaldesign,Liu2019Computationalpeelin,0.2857142857142857
Carta2020Machinelearningand,Zhang2019Computationaldesign,0.25
Iseringhausen2020ComputationalParque,Lamb2018EvaluatingComputati,0.25
Carreiro2020ThePoweroftheWea,Kirkpatrick2019Theedgeofcomputat,0.2857142857142857
Guzdial2019Computationalthinki,Heintz2018Computationalthinki,0.25
Wang2026Adeepneuralnetwor,Zhu2026PhysicsSolverTrans,0.2782608695652174
zarslan2026Thegeneralizationo,Wang2026Phasetransitionin,0.2923076923076923
zarslan2026Thegeneralizationo,Ji2026Scenariotreereduct,0.23529411764705885
zarslan2026Thegeneralizationo,Halder2026Solvabilityanditer,0.256
Zhang2026Observerbasedrobus,DellAccio2026mmlmathxmlnsmml,0.20317460317460317
Wang2026Temporalerrorestim,Li2026Temporalerroranaly,0.3076923076923077
Taleshian2026Applicationoffract,Aghaei2026AnewChebyshevoper,0.2206896551724138
Das2026Codesequippedwith,Behera2026mmlmathxmlnsmml,0.29767441860465116
Das2026Codesequippedwith,Wang2026Phasetransitionin,0.22857142857142856
Nwaigwe2026Efficienthighorder,Naseem2026Ahighefficiencyfo,0.21052631578947367
Ji2026Scenariotreereduct,zarslan2026Thegeneralizationo,0.23529411764705885
Djuki2026Interpolationofmm,Apai2026QuantumHermiteHada,0.32000000000000006
Djuki2026Interpolationofmm,Behera2026mmlmathxmlnsmml,0.3282051282051282
Djuki2026Interpolationofmm,Wang2026Phasetransitionin,0.26666666666666666
Zhang2026Exploringtheimpact,Zhao2025Analyzetheimpacto,0.25806451612903225
Lin2026Exploringtheimpact,Xue2025Theimpactofcolleg,0.2727272727272727
Hu2026Feedbackcontroller,Halder2026Solvabilityanditer,0.25660377358490566
Auricchio2026Onthecomputationo,Winiewska2026Onthecognitiveme,0.2
Apai2026QuantumHermiteHada,Djuki2026Interpolationofmm,0.32000000000000006
Sajidin2026Fosteringcriticalt,Chao2025Applyingthecuriosi,0.25
Cai2026Theroleofuncertai,Huang2025Theapplicationand,0.2631578947368421
Aghaei2026AnewChebyshevoper,Taleshian2026Applicationoffract,0.2206896551724138
DellAccio2026mmlmathxmlnsmml,Zhang2026Observerbasedrobus,0.20317460317460317
DellAccio2026mmlmathxmlnsmml,Wang2026Phasetransitionin,0.25263157894736843
DellAccio2026mmlmathxmlnsmml,Kapl2026Ammlmathxmlnsmm,0.31666666666666665
Lee2026Fastautoregressive,Behera2026mmlmathxmlnsmml,0.22857142857142856
Lee2026Fastautoregressive,Dey2026Classicalandobject,0.23076923076923075
Ma2026Theimpactofteache,Mansour2026Exploringtheimpact,0.22857142857142856
Wang2026Theintegrationoft,Zhang2025Anempiricalanalysi,0.2916666666666667
Halder2026Solvabilityanditer,Muoi2026Learningawaterqua,0.22857142857142856
