Id,Label
Zhan2025Designandapplicati,Design and application of oral English training process combined with human-machine collaboration
Yi2025Researchonpredicti,Research on prediction model of college students’ mental health status based on machine learning algorithm
Li2025Constructinganadap,Constructing an adaptive blended teaching model through big data analytics and machine learning
Zhang2025Interiordesigndisp,Interior design display based on NST algorithm and AR
Li2025Theroleofruralsp,The role of rural sports projects based on the Internet of Things and big data in promoting rural revitalization and development
Carreiro2020ThePoweroftheWea,The Power of the Weak
Becker2024ComputationalDesign,Computational Design of a Kit of Parts for Bending Active Structures
Mooij2022AComputationalFram,A Computational Framework for Organizing and Querying Cultural Heritage Archives
Chao2025Applyingthecuriosi,Applying the curiosity-confidence crank: Building critical thinking in higher education through a massive open online course
DellAccio2026mmlmathxmlnsmml,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si5.svg"" display=""inline"" id=""d1e2908"">
<mml:msup>
<mml:mrow>
<mml:mi>C</mml:mi>
</mml:mrow>
<mml:mrow>
<mml:mi>∞</mml:mi>
</mml:mrow>
</mml:msup>
</mml:math>
rational approximation and quasi-histopolation of functions with jumps through multinode Shepard functions"
Lv2025Researchonrealtim,Research on real-time data processing and audit optimization method of financial management based on internet of things and edge computing
Tissenbaum2019Fromcomputationalt,From computational thinking to computational action
Liu2025Visualanalysisand,Visual analysis and application of big data in product art design
Zhang2025Analysisoftheappl,Analysis of the application effect of multi-dimensional digital intelligence software in the “Marketing” course based on structural equation model
Huang2025Theapplicationand,The application and challenge of big data in college English courses
Wareham2023SwarmControlforDi,Swarm Control for Distributed Construction: A Computational Complexity Perspective
Xue2025Theimpactofcolleg,The impact of college students’ positive academic emotions on learning engagement based on structural equation modeling
Guan2025Transformationanda,Transformation and adaptation of English teachers’ roles in the age of artificial intelligence
Liu2019Computationalpeelin,Computational peeling art design
Zhang2025Graphsignalprocess,Graph signal processing technology based on multi-task processing model
Auricchio2026Onthecomputationo,On the computation of the infinity Wasserstein distance and the Wasserstein Projection Problem
Ni2025Intelligenttourism,Intelligent tourism information search behavior based on data mining
Huang2026Researchondefectd,Research on defect detection method of motor control board based on image processing
Tomovi2020AFirstorderLogic,A First-order Logic for Reasoning about Knowledge and Probability
Ye2025Educationalapplicat,Educational application based on diagnostic learning analysis technology under the background of big data analysis
Wu2025Optimizationofauto,Optimization of automated cigarette storage picking based on FP-growth algorithm
Zhang2025Constructionofacr,Construction of a cross-language text matching model based on SACNN
Wang2025Studyontheeffect,Study on the effect evaluation of physical education teaching based on situational perception and multi-scenario fusion recommendation algorithm
Zhang2025Difficultiesandbre,Difficulties and breakthroughs in the evaluation of college English classroom teaching quality in the era of artificial intelligence
Kang2025Leveragingbigdata,Leveraging big data analytics to optimize user interaction in power marketing management information platforms
Luo2025Applicationofartif,Application of artificial intelligence in digital media technology education
Yang2025Vulnerabilityevalua,Vulnerability evaluation of collaborative innovation network based on the anti-entropy weight method and cloud model
Zhang2025Developmentandappl,Development and application of English–Chinese interpreting collaborative teaching platform based on cloud computing
Xu2025Explorationofdigit,Exploration of digital labor education path for college students under the impact of public health events based on big data analysis
Wang2026Theintegrationoft,The integration of technology and education: An innovative research on the evaluation system of college students’ programming ability
Kutay2022CodingwithMinecraf,Coding with Minecraft: The Development of Middle School Students’ Computational Thinking
Song2025Optimizationofente,Optimization of enterprise organizational structure based on community detection algorithms in complex networks
Iseringhausen2020ComputationalParque,Computational Parquetry
Wang2025OptimizationofEngl,Optimization of English teaching resources and innovation of teaching mode based on deep learning
Zhang2025DesignofEnglishte,Design of English teaching quality assessment system model based on forward rule fast matching algorithm
Li2025Economicoptimizatio,Economic optimization of business administration resources: Multi-objective scheduling method based on improved PSO
Wu2025Theapplicationofa,The application of artificial intelligence in music education management: Opportunities and challenges
Wang2026Themmlmathxmlns,"The <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si4.svg"" display=""inline"" id=""d1e2467""><mml:mover accent=""true""><mml:mrow><mml:mi>∂</mml:mi></mml:mrow><mml:mrow><mml:mo>̄</mml:mo></mml:mrow></mml:mover></mml:math>-dressing method, B<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si5.svg"" display=""inline"" id=""d1e2477""><mml:mover accent=""true""><mml:mrow><mml:mi mathvariant=""normal"">a</mml:mi></mml:mrow><mml:mrow><mml:mo>̈</mml:mo></mml:mrow></mml:mover></mml:math>cklund transformation and exact solutions for a (3+1)-dimensional generalized Ito equation"
Hu2026Feedbackcontroller,"Feedback controller design in the frequency domain for high linear
<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.svg"" display=""inline"" id=""d1e37"">
<mml:mrow>
<mml:mi>n</mml:mi>
<mml:mo>−</mml:mo>
</mml:mrow>
</mml:math>
order systems"
Xia2025Designandapplicati,Design and application of efficient English learning system based on Jaro-Winkler
Guo2025SimulationofChines,Simulation of Chinese writing style based on generative adversarial networks (GANs) and the teaching of cultivating students’ “craftsman spirit”
Grdel2022LogicswithMultitea,Logics with Multiteam Semantics
Deng2025Simulationanalysis,Simulation analysis for the financial development of real estate using an improved machine learning algorithm
Wang2025Applicationofbigd,Application of big data and artificial intelligence in the promotion of aesthetic education in aviation programs
Ju2025Enhancinguserexper,Enhancing user experience in Power Marketing Management Platforms through machine learning algorithms
Baldan2020ModelCheckingaLog,Model Checking a Logic for True Concurrency
Liu2022TrustworthyAIACo,Trustworthy AI: A Computational Perspective
Zhu2025Explorationofartp,Exploration of art portrait classification and intelligent education model based on unsupervised emotion recognition in online education
Dey2026Classicalandobject,"Classical and objective Bayesian inference of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si430.svg"" display=""inline"" id=""d1e6520""><mml:msub><mml:mrow><mml:mi>C</mml:mi></mml:mrow><mml:mrow><mml:mi>p</mml:mi><mml:mi>y</mml:mi></mml:mrow></mml:msub></mml:math> for first-failure progressively censored samples"
